Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	NumPathsThisBatch	NumPathsSoFar	TimestepsThisBatch	TimestepsSoFar
10.3559730052948	47	81.6579974783	33.7905806985	152.568694654	-1.11147244104	20.0	0.0	51	2448	1020	48960
10.553107023239136	48	94.9230082991	37.6880831607	162.42199748	-5.42231039232	20.0	0.0	51	2499	1020	49980
10.748239994049072	49	119.484977407	32.0785727062	166.242418495	-20.1423337024	20.0	0.0	51	2550	1020	51000
10.944373607635498	50	134.806726853	41.0020649592	184.83078561	-98.5844544983	20.0	0.0	51	2601	1020	52020
11.140507221221924	51	146.793616592	32.6572313253	194.370560387	41.2565903311	20.0	0.0	51	2652	1020	53040
11.33664083480835	52	149.204411706	49.0073722666	192.397516773	-100.883264949	20.0	0.0	51	2703	1020	54060
11.536778688430786	53	156.16449042	51.070887073	207.146693599	-50.4234899038	20.0	0.0	51	2754	1020	55080
11.733911752700806	54	187.160648607	29.9673380729	223.520155595	59.0763478515	20.0	0.0	51	2805	1020	56100
11.929044723510742	55	190.988308349	35.1198638501	225.526393258	37.5916034864	20.0	0.0	51	2856	1020	57120
12.124177932739258	56	198.396003603	25.0473723368	229.705915325	114.156886352	20.0	0.0	51	2907	1020	58140
12.32431435585022	57	207.635781794	22.0635597862	239.098714453	111.167367275	20.0	0.0	51	2958	1020	59160
12.520447969436646	58	204.005783835	30.6248920458	238.069810747	70.1061228792	20.0	0.0	51	3009	1020	60180
12.716581583023071	59	208.080516746	37.9363510551	249.143562944	26.7630961266	20.0	0.0	51	3060	1020	61200
12.922722101211548	60	219.719322797	27.980029169	245.620162709	75.0590606003	20.0	0.0	51	3111	1020	62220
13.12185788154602	61	225.840914049	14.2596444677	246.510898779	179.759983189	20.0	0.0	51	3162	1020	63240
13.323995590209961	62	218.818313335	41.2415108303	249.701843354	26.1976373914	20.0	0.0	51	3213	1020	64260
13.525132656097412	63	223.525989141	32.249186289	258.392325911	92.5964384834	20.0	0.0	51	3264	1020	65280
13.723267793655396	64	224.081419931	29.1290967059	251.094553462	114.595083535	20.0	0.0	51	3315	1020	66300
13.918400764465332	65	222.11940393	34.7169682761	252.951630411	49.9896104873	20.0	0.0	51	3366	1020	67320
14.114534378051758	66	231.441332904	21.9102154921	257.223795397	171.672824768	20.0	0.0	51	3417	1020	68340
14.311668872833252	67	234.311653324	15.6998523197	258.438437971	190.624757135	20.0	0.0	51	3468	1020	69360
14.507802486419678	68	231.721025639	17.3248597173	253.744998861	163.133503713	20.0	0.0	51	3519	1020	70380
14.70693826675415	69	237.101466778	19.5436089829	260.474265566	158.88654412	20.0	0.0	51	3570	1020	71400
14.908104419708252	70	241.990923967	11.6747273415	260.428223982	202.617237693	20.0	0.0	51	3621	1020	72420
15.105243921279907	71	244.036766411	7.86567643587	258.182630544	221.10737918	20.0	0.0	51	3672	1020	73440
15.308378219604492	72	243.055359677	11.3704079022	263.884286421	212.132652449	20.0	0.0	51	3723	1020	74460
15.510503053665161	73	243.960799242	9.80781172907	262.836654441	223.525221948	20.0	0.0	51	3774	1020	75480
15.7096529006958	74	249.230657563	7.87506341486	262.802465293	221.222823095	20.0	0.0	51	3825	1020	76500
15.913790225982666	75	248.135426716	8.21960504604	260.431441077	226.468992046	20.0	0.0	51	3876	1020	77520
16.115932941436768	76	247.524319572	8.452591949	260.656513078	226.010917169	20.0	0.0	51	3927	1020	78540
16.314064025878906	77	248.139781798	7.49448396132	260.512770921	230.167063883	20.0	0.0	51	3978	1020	79560
16.516205310821533	78	249.787412306	7.96239388802	264.85708832	229.429176167	20.0	0.0	51	4029	1020	80580
16.720332860946655	79	250.673020758	7.42391848316	261.834691183	233.894011978	20.0	0.0	51	4080	1020	81600
16.920470237731934	80	252.030603984	8.50672104954	264.958890339	229.300787922	20.0	0.0	51	4131	1020	82620
17.125609874725342	81	251.897828351	7.91162591375	266.679884912	230.020239158	20.0	0.0	51	4182	1020	83640
17.332749843597412	82	252.069807335	8.74240097089	268.309058998	234.307925468	20.0	0.0	51	4233	1020	84660
17.53388786315918	83	250.528445667	9.84722650495	265.586960768	223.836744454	20.0	0.0	51	4284	1020	85680
17.7290198802948	84	253.411194216	8.31024807635	265.804573861	226.965383743	20.0	0.0	51	4335	1020	86700
